expression,context
nie miałby,"Jestem pewien, że król nie miałby problemów z przekazaniem swojej władzy zwierzchniej Anglii; a ostatnio otrzymałem od sir Williama Hamiltona notę, że Malta nie powinna być przyznana żadnemu mocarstwu bez zgody Anglii..."
nie miałem,Nigdy nie miałem żadnego wsparcia brytyjskiej branży filmowej”.
nie miało,"Ciało, które zidentyfikowano później jako dwudziestopięcioletnią Gemmę Adams, nie miało śladów świadczących o napaści na tle seksualnym."
nie miały,Na froncie wschodnim nie miały już się powtarzać okresy spokoju.
nie mieli,"Gdybyśmy nie mieli Warszawy w Generalnym Gubernatorstwie, to nie mielibyśmy 4/5 trudności, z którymi musimy walczyć."
nie mieliśmy,"Jako że nie mieliśmy kontroli nad tymi rzeczami, to nie mamy także kontroli nad ich konsekwencjami."
nie rozumie,"W odniesieniu do wyżej wymienionego kōanu Robert Aitken oznajmił, iż Suzuki powiedział mu: 'Z przykrością stwierdzam, że Pan Watts nie rozumie tej historii'."
nie rozumiejąc,"Podczas bitwy, Impala 'ratuje' Power Girl, nie rozumiejąc, że była ona jedną z kilku, która mogłaby wytrzymać uderzenie z robotem."
nie rozumieli,"Julieta Ojeda, członkini Mujeres Creando, wyjaśniła, że 'w rzeczywistości instytucje finansowe dopuszczały się lichwy i wymuszeń, oszukiwały ludzi wykorzystując ich niewiedzę, nakłaniając ich do podpisywania kontraktów, których nie rozumieli'."
nie rozumielibyśmy,Stwierdza: 'bez pomocy Donii Mariny nie rozumielibyśmy języka Nowej Hiszpanii i Meksyku'.
nie rozumiemy,"Używamy ich we wszystkich naszych teoriach, ale ich nie rozumiemy – czym one są, albo skąd się wzięły."
nie tak,"Oczywiście Thin Lizzy też, ale nie tak bardzo."
nie wie,"Gdy zaciągnie u kogoś dług i nie wie, jak może go spłacić, dostaje ataku astmy."
nie wiecie,"Nie spędzacie weekendu z żoną, nie możecie konstruktywnie wykorzystać czasu wolnego, nie macie żadnego hobby, i nie wiecie jak się pisze „Mozart”."
nie wiedziano,"Rannych wydobywano z wody i odsyłano do placówek medycznych, gdzie o gazie musztardowym nic nie wiedziano."
nie wiedział,"Nikt na paradzie, oprócz Bama i jego ekipy, nie wiedział, że Brandon nie był zaangażowany w paradę."
nie wiedziała,"Własow ukazał się jej jako wierny żołnierz i patriota radziecki, nie wiedziała wtedy jeszcze, że już po kilku miesiącach trafi do niewoli niemieckiej i przejdzie na stronę nazistów jako dowódca Rosyjskiej Armii Wyzwoleńczej (ROA)."
nie wiedziałam,Byłam bardzo nieśmiała i nie wiedziałam jak wydostać się z mojej skorupy.
nie wiedziały,"Obydwie strony nie wiedziały o przygotowaniach każdej ze stron i to spowodowało, że bitwa rozwinęła się w nieoczekiwany sposób dla obu stron."
nie wiedzieli,"Było tam tak wielu stojących na parapetach i krzyczących ludzi, że strażacy nie wiedzieli, kogo ratować w pierwszej kolejności."
nie wiedzieliśmy,"Odpowiedź premiera Szimona Peresa, który twierdził, że „nie wiedzieliśmy, że w tym obozie było skoncentrowanych kilkaset osób."
nie wiedzą,"W wywiadzie dla CivilTV powiedział, że 'zakochał się w kulturze; ludzie nie wiedzą, co Haiti dla mnie znaczy.'"
nie wiedząc,"Podziwia He-Mana i chce, by Adam był taki jak on, nie wiedząc, że ci dwaj to jedna i ta sama osoba."
nie wiem,"Mam nadzieję, że to samo wydarzy się w przypadku Beyoncé, jednak nie wiem, czy to rzeczywiście się stanie."
nie wiemy,"Jan V został pochowany w Zatorze, choć nie wiemy w którym z kościołów parafialnych."
niech żyje,"('Odwaga, kuzyni - niech żyje anarchia!')."
niemniej jednak,"Żaden z nich nie uzyskał statusu oficjalnego kandydata partii, niemniej jednak prezydent Eduardo Duhalde 15 stycznia 2003 publicznie poparł Kirchnera."
nowa fala,W październiku 1968 rozpoczęła się nowa fala represji przeciwko ukraińskiemu Kościołowi greckokatolickiemu.
nowej fali,"Album był pod silnym wpływem nowej fali i elektroniki, z wykorzystaniem syntezatorów Casablancasa w wielu piosenkach."
o czas,Wtedy Herod przywołał potajemnie Mędrców i wypytał ich dokładnie o czas ukazania się gwiazdy.
o czasie,Małe zespoły składają się z 3 do 6 osób i opracowują projekty o czasie trwania od 3 do 6 miesięcy.
o kant dupy potłuc,"Te wyniki można o kant dupy potłuc, do niczego się nie nadają."
o wiele,Następne migracje były o wiele mniejsze.
obozach koncentracyjnych,"Na swoim stanowisku był odpowiedzialny za rozwijanie systemu psychiatrycznej i eugenicznej kontroli oraz badań przeprowadzanych w obozach koncentracyjnych, a także za organizację programu eutanazji T-4."
obozie koncentracyjnym,"Więziony w Stauferkaserne Zbigniew Bujnowicz wspominał, że życie przetrzymywanych w koszarach Polaków przypominało warunki panujące w obozie koncentracyjnym."
obozu koncentracyjnego,"Sebastian Piątkowski opierając się na zachowanych dokumentach sądu specjalnego w Radomiu, wskazywał, że zwłaszcza w przypadku drobnych i jednorazowych form pomocy – takich jak dostarczenie zbiegowi żywności, odzieży lub pieniędzy, wskazanie drogi, przyjęcie korespondencji – kara mogła się ograniczyć do uwięzienia lub zesłania do obozu koncentracyjnego."
obozy koncentracyjne,15 tys. niemieckich Żydów przeżyła obozy koncentracyjne lub przetrwała w ukryciu.
obozów koncentracyjnych,Baza zawiera także zeznania byłych więźniów obozów zagłady i obozów koncentracyjnych.
obóz koncentracyjny,Armia Czerwona wyzwoliła obóz koncentracyjny Gross-Rosen.
od czasu do czasu,"Postanowiła jednak komunikować się od czasu do czasu z British Titanic Society, jednakże komunikacja była bardzo strzeżona."
od czasu kiedy,"Rezultatem tych badań prowadzonych przez stację jest ponad 1000 naukowych publikacji, które zostały stworzone przez australijskich i międzynarodowych badaczy od czasu kiedy stacja została utworzona w 1973 r."
od czasów kiedy,"Tutaj podjął się zadania reorganizacji i modernizacji zbiorów, z których wiele było zaniedbanych, od czasów kiedy Hans Sloane przekazał je narodowi."
od dawna,"Uważa się, że meksykańskie i kostarykańsko-panamskie populacje Syngonium są od dawna odseparowane, co przekłada się na powstanie różnic morfologicznych u przedstawicieli tych samych gatunków (np. S. podophyllum i S. macrophyllum)."
od początku,"Album ten okazał się jednym z najszybciej sprzedawanych od początku XXI wieku, zostając drugim bestsellerem 2010 roku."
od razu,"Marlene nie miała praktycznie żadnych doświadczeń z mężczyznami, w przeciwieństwie do swojej matki, która od razu popada w romans z Konstantinem."
od rzeczy,"Rozwinęli również wyrafinowaną doktrynę lektón, który był związany z każdym znakiem języka, ale oddzielony zarówno od znaku samego w sobie, jak i od rzeczy, do której się odnosi."
od rzeczywistego,W efekcie kalendarz nadal oddalał się od rzeczywistego roku słonecznego.
od teraz,Stacja była wcześniej znana jako 'Stamford Town do odróżnienia od teraz zamknięty stacji Stamford East na Water Street.
od tyłu,"Jacques zaczął pozować, dopóki Butch nie zaatakował go od tyłu."
od zawsze,Sieciowy mikrowolontariat był oryginalnie określany przez Virtual Volunteering Project mianem „wolontariatu bajtowych rozmiarów” i od zawsze stanowił część ponad 30-letniej historii sieciowego wolontariatu.
odchodzi od zmysłów,"Gdy pewnej nocy Elisa znika,a poszukiwania nie przynoszą rezultatów, Fabrizo odchodzi od zmysłów."
odchodziła od zmysłów,Gdzie byłeś przez całą noc? Matka już odchodziła od zmysłów.
odcisk palca,"Jest to jedna z kilku historii o Holmesie, w których odcisk palca jest dobrą wskazówką."
odcisków palców,Sterylizacja narzędzi chirurgicznych i usuwanie niepożądanych odcisków palców z wrażliwych elementów elektrycznych i optycznych.
odmieniali przez wszystkie przypadki,"2001, Dziś Notabene, ci oburzeni zdradą odmieniali przez wszystkie przypadki takie słowa, jak „moralność” i „przyzwoitość”, zupełnie jak moraliści mieszający ich program z błotem."
odmieniał przez wszystkie przypadki,Natomiast w swoich komentarzach po paryskiej wizycie Mikołaja II „Dziennik Poznański” odmieniał przez wszystkie przypadki słowo „sojusz”.
odmieniała przez wszystkie przypadki,Po porażce prasa odmieniała przez wszystkie przypadki słowo 'upokorzenie'.
odnowy czasu,"Wysokość 101 pięter nawiązuje do cyklu odnowy czasu: nowego wieku, który nastał w czasie budowy (100+1) oraz wszystkich nadchodzące nowych lat (1 stycznia to 1-01)."
operach mydlanych,W 2010 roku grała w dwóch operach mydlanych: Kain i Abel i Data Niewidomych.
ostatniej prostej,Jesteśmy już na ostatniej prostej!
ostatnim czasie,"W ostatnim czasie, obrońcą tego stanowiska jest np. Daniel Dennett."
padli ofiarą,"Koncepcja bezpiecznego azylu, zaproponowana przez Phillipe’a Pinela oraz Williama Tuke’a, oferowała ochronę i opiekę w zakładach przeznaczonych dla pacjentów, którzy wcześniej padli ofiarą nadużyć lub niewolnictwa."
padło ofiarą,Nie jest do końca jasne ilu cywilów padło ofiarą tej egzekucji.
paliw kopalnych,"Francja posłużyła jako modelowe państwo dla delegatów uczestniczących w COP21, ponieważ jest jednym z niewielu rozwiniętych krajów na świecie, które dekarbonizują produkcję energii elektrycznej jak i odejście od wytwarzania energii z paliw kopalnych (bezwęglowe technologie, w tym przypadku energia nuklearna) zapewniając jednocześnie wysoki standard życia."
paliwa kopalne,"Technologia ta jest popierana przez wielu naukowców i badaczy, a profesor James Hansen, były dyrektor NASA Goddard Institute for Space Studies stwierdził, że 'Badając zmiany klimatu przez ponad cztery dekady, jest dla mnie jasne, że świat zbliża się do katastrofy klimatycznej, jeśli nie stworzymy adekwatnych źródeł energii, które zastąpią paliwa kopalne."
pannę młodą,"W lipcu 1304 ponownie udał się do Rzymu, aby ponownie przyprowadzić pannę młodą dla swojego brata Roberta."
park Narodowy,Światowa baza danych o obszarach chronionych – park Narodowy Мarsabit
parkiem narodowym,Archipelag stał się parkiem narodowym w 1971.
parku narodowego,"Do roku 2010 obowiązywał tam zakaz wstępu do większości obszaru, pomimo utworzenia parku narodowego w 2004 roku."
parków narodowych,"Jest to jeden z najstarszych rosyjskich parków narodowych, założony 5 maja 1983."
paść ofiarą,"Storm był zdania, że Adolph Ruth mógł paść ofiarą tego samego snajpera."
pistolet maszynowy,"FAMAE SAF – pistolet maszynowy produkowany od 1993 roku przez FAMAE (Fábricas y Maestranzas del Ejército), państwową chilijską fabrykę broni strzeleckiej."
plac zabaw,"Przedstawiciele Google opisali projekt Google Labs jako „plac zabaw, gdzie nasi bardziej przedsiębiorczy użytkownicy mogą zabawiać się z prototypami niektórych z naszych dzikich i zwariowanych pomysłów, a także mogą przedstawiać opinie bezpośrednio do inżynierów, którzy je rozwinęli”."
po brzegi,"Kościoły są pełne po brzegi, choć szacuje się, że jedynie 10% Polaków uczęszcza do kościoła."
po cichu,"Audytorzy po cichu powiadomili programistów WordPress i w ciągu sześciu dni WordPress wydał poprawkę o wysokim priorytecie do wersji 4.7.2, która rozwiązała problem."
po co,W owym czasie ktoś spytał markiza de Pombal: „po co komu tak szerokie ulice?”.
po części,"Jest to trudne, ponieważ po części życie jest procesem, a nie czystą substancją."
po drodze,"Po trzech dniach ciężkich walk odstąpili jednak od miasta, łupiąc po drodze inne miejscowości."
po dziś dzień,"Pod zwierzchnictwem jego syna, `Abdu'l-Baha, religia rozprzestrzeniła się do Europy oraz Ameryki i została umocniona w Iranie, gdzie po dziś dzień poddawana jest intensywnym prześladowaniom."
po prostu,"Opisuje, jak usłyszał głos Ducha Świętego, który mówił mu, aby po prostu wyjść z silnie strzeżonego więzienia przez bramę."
po prosty,"I to było naprawdę wprowadzenie ludzi do tego, jak chcę aby mój następny album brzmiał, a z czasem będę mogła robić trochę więcej, a czas jest po prosty wszystkim."
po turecku,"Przez jakiś czas Sarah, jej brat i matka mieszkali w pobliskim Komotini, mieście, które w tamtych czasach charakteryzowało się sporą liczbą ludności mówiącej po turecku."
po wsze czasy,Mimo tego że zmarł nie ukończywszy nawet 40 lat odcisnął swoje piętno na anatomii po wsze czasy.
pod kątem,"Obecni na zgromadzeniu członkowie Atheist Republic, którzy podobno otrzymali groźby śmierci w mediach społecznościowych, byli sprawdzani pod kątem tego, czy „rozpowszechniali ateizm wśród muzułmanów”, co również zostało zakazane w tym kraju."
pod pozorem,"Paweł Tuchlin został zatrzymany 31 maja 1983 r. w wieku 37 lat, pod pozorem podejrzenia o kradzież drewna i parnika."
pod pretekstem,14-letnią dziewczynkę zaciągnął do lasu pod pretekstem wyjaśnienia jakiegoś nieporozumienia.
pod rząd,"TVXQ stali też trzecim artystą zagranicznym, po Michaelu Jacksonie i Backstreet Boys, którzy wystąpili w Tokyo Dome trzy dni pod rząd, przyciągając ponad 165 tys. widzów."
pod rządami,"Chociaż żadna z tych sił nie mogła opanować Sycylii na stałe, pod rządami Hasana as-Samsama (1040-1053) wyspa została podzielona na małe lenna."
pod rządem,"Kiedy wszystkie rządy marionetki Chin zostały zjednoczone pod rządem Wang Jingwei w marcu 1940, Mengjiang utrzymał swoją oddzielną tożsamość jako autonomiczna federacja."
pod rządową,"W lutym 1968 roku, zaledwie kilka miesięcy po tym, jak jego producent został podporządkowany, pod rządową presją, firmie Leyland Motor Corporation, Land Rover obchodził swoje dwudziestolecie, a całkowita produkcja do tej pory wyniosła zaledwie 600 000, z czego ponad 70% zostało sprzedanych za granicę."
pod wezwaniem,Parafia i kościół pod wezwaniem Świętej Trójcy.
pod wodzą,"We wrześniu 1429 roku, armia około 18 000 hafsydzkich Saracenów pod wodzą Kaid Radivana, przybyła z Tunezji na Maltę."
pod wodą,Inne sceny przedstawiają Agnes pod wodą lub przed dwoma olbrzymimi reflektorami.
pod względem,Wszystkie emocje różnią się pod względem stopnia podobieństwa do siebie nawzajem.
podają w wątpliwość,Nowsze badania chemiczne próbek kości i paznokci pobranych od Hartnella i innych członków załogi podają w wątpliwość rolę zatrucia ołowiem.
podano w wątpliwość,"Zamiast rozdzielać ornament i funkcję jak czynili to postmoderniści, tacy jak Venturi, podano w wątpliwość funkcjonalne aspekty budynku."
podawał w wątpliwość,"English, przyjaciel Poego i pomniejszy pisarz, a także wykwalifikowany lekarz i prawnik, podobnie jak Lummis nie wierzył, że Poe zwrócił listy, a nawet podawał w wątpliwość ich istnienie."
podaży i popytu,"Jeden z czterech załączników, które Azpilcueta napisał dla podręcznika , dotyczący wymiany, podaży i popytu oraz pieniędzy, został niedawno przetłumaczony na język angielski i opublikowany jako ' Na giełdzie' (2014)."
podczas gdy,"Generalnie poziom religijności w parafii jest znacznie poniżej ogólnopolskiej i wyraźnie poniżej warszawskiej średniej; podczas gdy dla kraju średni odsetek dominicantes wynosi 45% a dla stolicy 27%, na Żytniej utrzymuje się w granicach 16%."
podstawowych informacji,"Oprócz podstawowych informacji, każde Centrum Informacji oferuje inny temat przewodni w formie wystawy."
pole widzenia,"Przynosi to taką korzyść, że leżąc na dnie morza, mają obydwa oczy na górze, co zapewnia im szerokie pole widzenia."
pora sucha,"Ponieważ region jest biedny, a pora sucha jest długa, mniej więcej od października do maja, wielu ludzi opuszcza ten obszar by pracować w południowej części Ghany, przynajmniej przez jakąś część roku."
poradzić sobie,"W styczniu 2013 szwajcarski artysta i model Patrick Nuo publicznie twierdził, że Lubben pomogła mu poradzić sobie z uzależnieniem od pornografii."
postawić na nogi,To powinno cię postawić na nogi.
postawiła na nogi,Zbiegła pantera postawiła na nogi wszystkie miejskie służby.
poza tym,"Używają różnych ilości przesunięcia i dodatkowych stałych, ale ich struktury są poza tym praktycznie identyczne, różnią się tylko liczbą rund."
poza tymi,"Thomas More, prawnik i uczony, twierdził, że tolerancja religijna powinna być rozszerzona na wszystkich poza tymi, którzy nie wierzyli w Boga lub niemoralność duszy."
przed latami,Ponadto diecezja i biskup Finlandii nie są wymienieni wśród swoich szwedzkich odpowiedników przed latami 50.
przed laty,"Od marca 2009 telewizja iTV wznowiła nadawany przed laty program Disco Polo Live, jednak jego emisja została wstrzymana w marcu 2011 roku."
przed rokiem,"Angielskie i szkockie oddziały były politycznie niepewne, gdyż Jakub jeszcze przed rokiem był ich legalnym monarchą."
przed wszystkimi,"Trwają programy, których celem jest stworzenie szczepionki chroniącej przed wszystkimi 4 serotypami dengi."
przede wszystkim,"Miasta gracza pełnią wiele funkcji, ale przede wszystkim umożliwiają rekrutację stworzeń w celu sformowania armii."
przez wzgląd na,We wrześniu 2006 łotewski parlament (Saeima) przyjął do kodeksu pracy poprawki zakazujące dyskryminacji w miejscu pracy przez wzgląd na orientację seksualną.
przy okazji,"Bolt przy okazji osiągnął swoje szóste zwycięstwo, zestrzeliwując samolot japoński próbujący bronić barek."
przy pomocy,"13 września 2006 r. prototyp RepRap 0.2 wyprodukował pierwsze części siebie samego, przy pomocy których zastąpiono jego własne części wytworzone za pomocą komercyjnej drukarki 3D."
przy tym,"To był dobry film, i przy tym długi."
przy udziale,Metoda ta została użyta do ustawienia 1500 luster zbudowanego przy udziale studentów satelity Starshine-3.
przy użyciu,"Współczesne modemy telefoniczne mają zazwyczaj teoretyczną szybkość transferu 56 kbit/s (przy użyciu protokołu V.90 lub V.92), chociaż w większości przypadków normą jest 40-50 kbit/s."
przynosi mamuta do domu,"2012, glob, Re: Co się dzieje z globem?, pl.sci.psychologia, Usenet [ … ] kobieta szybko znajdzie nowe zajęcie, mężczyźnie trudno się przestawić i pogodzić z tym, że to kobieta przynosi mamuta do domu, czyli więcej zarabia, lepiej sobie radzi, nawet nie wiemy co czujemy bo nam nie wolno czuć."
ptasie mleczko,"1962, Edward Wiszniewski, Handel uspołeczniony w warunkach szybkiego wzrostu gospodarki socjalistycznej W wyrobach czekoladowych najbardziej popularne w skali kraju były: mieszanka czekoladowa, czekolada stołeczna, amatorskie, ptasie mleczko."
punkt odniesienia,"Album Geometrykon jest cytowany jako punkt odniesienia. (fr) Trzy albumy Anzelma są wymienione przez Michèle Porte w jej książce Mémoire de la science, vol."
punkt widzenia,Jego punkt widzenia kosztował go stratę 1/6 floty i życia.
punkt zwrotny,Rzeka Raft uważana była za punkt zwrotny przez emigrantów.
punktem kontrolnym,W 1776 roku wyspa znalazła się pod jurysdykcją Magistrato alla Sanità (Urząd Zdrowia Publicznego) i stała się punktem kontrolnym dla wszystkich towarów i osób przybywających do Wenecji statkiem.
punktem odniesienia,"BLEU często zostawał uznawany za korelujący dobrze z ludzkim osądem, i pozostaje punktem odniesienia dla ocen każdej nowej metody."
punktem widzenia,"To życie stwarza najpoważniejsze chwile i najbardziej głupie chwile, które często różnią się tylko chwilowym punktem widzenia."
punktem zwrotnym,Bitwa wyczerpała JNA i okazała się punktem zwrotnym w chorwackim konflikcie.
punktu widzenia,Mogą oni nie zachowywać się w sposób ostrożny - z punktu widzenia pożyczkodawcy - gdy inwestują lub wydają środki lekkomyślnie.
punkty kontrolne,Są one rozsiane po całym świecie i służą za punkty kontrolne dla danego poziomu.
punkty widzenia,"Kiedy jakaś kultura zaczyna w ten sposób zreinterpretować swoją mitologię, wycieka z niej życie, świątynie stają się muzeami i zanika więź łącząca te dwa punkty widzenia."
punktów kontrolnych,"Słoweński Szlak Górski ma także swoją rozszerzoną wersję, który ma obecnie 35 punktów kontrolnych w całej Słowenii."
punktów widzenia,"Według profesora prawa Daniela J. Solove'a, takie efekty 'ranią społeczeństwo, między innymi, obniżają różnorodność wyrażanych punktów widzenia oraz stopień wolności w zaangażowaniu w działalność polityczną.'."
raczej nie,"W przeciwieństwie do Etiopii raczej nie powstał Kościół państwowy, a wszystkich siedmiu biskupów odpowiadało bezpośrednio przed koptyjskim patriarchą Aleksandrii."
raczej nieregularny,"Był szybki, ale raczej nieregularny i wkrótce otrzymał pseudonim 'Crashley' ."
radzi sobie,"Wykazano, że mimo możliwości ewaluacji tłumaczeń każdego języka, BLEU w obecnej formie nie radzi sobie z językami, które nie posiadają granic słów."
radzili sobie,"W badaniu studentów odkryto, że badani dzielący wspólne inicjały radzili sobie lepiej, niż grupy bez takich powiązań."
radzić sobie,"Metody obliczeniowe, takie jak sztuczne sieci neuronowe, mogą również oszacować relacje przestrzennych interakcji i mogą radzić sobie z szumami i złą jakością danych."
radził sobie,Rząd radziecki nie radził sobie z rosnącymi wymaganiami w stosunku do usług transportowych i infrastruktury.
radziły sobie,A13 radziły sobie znacznie lepiej na pustyniach Afryki Północnej i sprawowały się lepiej w tamtejszych warunkach niż niektóre czołgi innych konstrukcji.
radzą sobie,"W swojej książce Wzory kultury Benedict bada kulturę Pueblo i to, jak jej przedstawiciele radzą sobie ze śmiercią i żalem."
ratowników medycznych,"O godzinie 11:30wieczorem, policja Matsumoto otrzymała pilny raport od ratowników medycznych, że wiele ofiar śmiertelnych zostało przetransportowanych do szpitala."
raz na zawsze,Spróbujmy to rozstrzygnąć raz na zawsze.
razem z,"Link razem z mężem Gavinem J. Grantem prowadzi wydawnictwo Small Beer Press, z siedzibą w Northampton, Massachusetts."
razem zagrali,W 2013 roku de Amo i Lario znowu razem zagrali w Grand Slamie w Szanghaju (Chiny).
razem zamieszkali,14 kwietnia 1946 roku wzięli ślub i razem zamieszkali w Lincoln.
razem ze,"Od tego czasu – do swojej śmierci dwa lata później, mieszkał w południowej Portugalii razem ze swoją niezamężną siostrą, infantką Filippą."
roku świetlnego,"Jest także otoczona przez szeroki na 2,5 roku świetlnego bąbel z poprzednio wyrzuconego materiału, co sugeruje, że w pewnym okresie traciła ona masę 50 razy szybciej niż obecnie."
rozłożyć ręce,"W moim wieku, muszę rozłożyć ręce i błagać: Bracia i siostry!"
rychło w czas,No to rychło w czas sobie przypomnieli...
rzucają światło,"Kilka badań demograficznych, w tym praca społeczna badacz Atheny Kolbe, rzucają światło na aktualny stan mieszkańców miast."
rzucając światło,"W 2008 roku, producenci ER ogłosili, że Edwards powtórzy swoją rolę w ostatnim sezonie serialu jako dr Greene pojawiający się w retrospekcjach w odcinku 'Heal Thyself' rzucając światło na przeszłość Dr Catherine Banfield's (zagrany przez Angelę Bassett)."
rzucisz okiem,Może rzucisz okiem na ten szkic „Ogrodu Daubigny’ego” – to jedno z moich najstaranniej obmyślonych płócien.
rzucić okiem,"Niech Pan będzie łaskaw rzucić okiem na teksty, które mu zostaną przekazane."
rzuciła światło,Ich praca rzuciła światło na matematyczną strukturę M-teorii i zasugerowała drogę połączenia M-teorii z fizyką realnego świata.
rzędu wielkości,"Jeśli cyfry arabskie i kanji są użyte wspólnie, liczby w stylu zachodnim mogą być wykorzystywane dla rzędu wielkości nie większych 10000 (np. 2500万 to 25000000)."
równie dobrze,"W 2000 roku wyreżyserował niemiecki horror - Anatomia z Franka Potente, a w 2003 roku równie dobrze przyjęty sequel Anatomia 2."
również powiedział,"Merritt, który podobno był ostatnią osobą, do której McStay dzwonił ze swojej komórki, również powiedział, że zdał test przeprowadzinu wariografem i nie wiedział nic, co mogłoby pomóc w rozwiązaniu tajemnicy zniknięcia rodziny."
sam w sobie,"Ta zaktualizowana wersja InfoPath 2013 (15.0.4733.1000) zaprojektowana została do pracy przy pakiecie Office 2016, który sam w sobie programu InfoPath nie zawiera."
sama w sobie,"Poniżej wymienione są najważniejsze ze stosowanych przez Findhorn, chociaż należy pamiętać, że najistotniejszym czynnikiem jest nastawienie mieszkańców, a nie technologia sama w sobie."
same w sobie,"Niewielkie zmiany wyniku z nagromadzenia perturbacji, które same w sobie mogą być ponownie uproszczone, służą jako korekta do przybliżonego rozwiązania."
samych w sobie,"Białka mogą łączyć się z innymi proteinami i prostymi molekułami, czasem także działając jak enzymy ułatwiając reakcje chemiczne z powiązanymi molekułami (bez zmiany struktury protein samych w sobie)."
samą w sobie,"Inwazja może być przyczyną wojny i/lub częścią szerszej strategii do jej końca, może też stanowić całą wojnę samą w sobie."
silnik wysokoprężny,"Lokomotywa posiada nowy silnik wysokoprężny typu C27, który pozwala na ograniczenie emisji spalin zgodnie z normami, wymaganymi od 2009 roku."
silnikami wysokoprężnymi,Ponad jedna czwarta sprzedaży VW w USA to pojazdy z silnikami wysokoprężnymi.
silniki wysokoprężne,"Ten silnik stał się standardową jednostką Land Rover do połowy lat 80-tych, kiedy silniki wysokoprężne stały się bardziej popularne."
sił zbrojnych,"Mykolas Sleževičius był premierem w 1918 i 1919 roku, nadzorował organizację litewskich sił zbrojnych w 1920 roku i został członkiem drugiej Sejmu w latach 1922 i 1926."
siłach zbrojnych,Azerbejdżan przestrzega Traktatu o konwencjonalnych siłach zbrojnych w Europie i podpisał wszystkie ważne międzynarodowe traktaty o broni i broni.
siłami zbrojnymi,"Hrabia powrócił w 1052 z poważnymi siłami zbrojnymi, ale ostatecznie zawarł ugodę z królem."
siłom zbrojnym,"Heroiczna obrona zamku w Fuengiroli była jednym z nielicznych momentów (Maida, Albuera) w historii, w których polscy żołnierze walczyli przeciw siłom zbrojnym Wielkiej Brytanii."
siły zbrojne,"Po dotarciu na powierzchnię, znajduje obiekt oczyszczony z jakiejkolwiek żywej istoty – człowieka lub obcej – przez siły zbrojne."
siły zbrojnej,"4 września Maltańczycy utworzyli National Assembly (Zgromadzenie Narodowe), i jego pierwszym zadaniem było utworzenie siły zbrojnej, która blokowałaby pozostałe wojska francuskie."
stan rzeczy,"Od ponad 20 lat, ten stan rzeczy odróżnia nas od reszty świata rozwiniętego."
stanu rzeczy,Zdaniem filozofa najbardziej prawdopodobną konsekwencją takiego stanu rzeczy są narodziny nowego totalitaryzmu.
stanuflotyaż do,Jednak„Okikaze” nie został oficjalnie usunięty ze stanuflotyaż do 1 marca 1944 roku.
stanów rzeczy,"To, co jest faktem – fakt – jest istnieniem stanów rzeczy."
sto lat,"Unia irlandzko-brytyjska, której zdecydowanie sprzeciwiał się Henry Grattan, została częściowo rozwiązana w około sto lat później."
stoi pod znakiem zapytania,Ze względu na wypadek gitarzysty dalsza działalność zespołu stoi pod znakiem zapytania.
stopień równy,W ciało skończone(ciało Galois) GF(125) = GF(53) ma stopień równy 3 nadGF(5).
stosunki płciowe,"Pary, których stosunki płciowe zarejestrowano, otrzymują wynagrodzenie w wysokości około 30 euro."
stosunku płciowego,"Często zmieniają praktyki seksualne, unikając stymulacji genitalnej i stosunku płciowego i podążając w kierunku zwiększenia nacisku na dotyk powyżej poziomu urazu oraz na inne aspekty intymności, jak całowanie i pieszczoty."
strzelał z armaty do muchy,"1982, Stanisław Lem, Katar, Wydawnictwo Literackie →ISBN Stanowczo Swift strzelał z armaty do muchy, urządzając pijatyki z podejrzanymi kobietami po to, by wypróbować zaangażowanego detektywa."
stu latach,"Tym niemniej uczeni nie byli zbyt zainteresowani tą księgą, dopóki po prawie stu latach nie został odkryty drugi, pełny tekst w Osireionie."
studium przypadku,"Trwające negocjacje i debaty dotyczące Antarktydy to dobre studium przypadku potencjalnych kolonizacji księżycowych, ponieważ podkreśla liczne pułapki rozwoju / zamieszkiwania w miejscu podlegającym roszczeniom wielu suwerennych państw."
swoją drogą,Każdy swoją drogą (The Parting of the Ways).
swoją drogę,Pojęcie misterium zbawienia przetarło swoją drogę do dokumentów Soboru nie bez sprzeciwów i niezrozumienia.
szczęśliwy Nowy Rok,Bóg dał nam szczęśliwy Nowy Rok”.
szerokości geograficznej,"Większość użytkowników języka zamieszkuje południe Czadu, pomiędzy 10 a 14 stopniem szerokości geograficznej północnej."
szerokościach geograficznych,"Dane radarowe z Mars Express i Mars Reconnaissance Orbiter wskazują na duże ilości lodu wodnego zarówno w okolicach biegunów (lipiec 2005), jak i na średnich szerokościach geograficznych (listopad 2008)."
sztuczna inteligencja,Po raz pierwszy sztuczna inteligencja (AI) pokonała profesjonalnego gracza Go.
sztucznej inteligencji,Pytanie to wysunęło się na pierwszy plan wielu debat filozoficznych pod wpływem badań prowadzonych na polu sztucznej inteligencji (SI).
sztuczną inteligencją,Zasiadał również w Państwowym Komitecie Doradczym Wydziału Inżynierii Uniwersytetu Michigan i był zaangażowany we wczesne prace nad sztuczną inteligencją.
